"source","target"
"21","31"
"41","31"
"51","31"
"1","31"
"62","31"
"81","31"
"91","31"
"111","31"
"121","31"
"161","31"
"131","31"
"182","31"
"193","31"
"151","31"
"141","31"
"221","31"
"201","31"
"231","31"
"241","31"
"251","31"
"271","31"
"281","31"
"292","31"
"291","31"
"301","31"
"361","31"
"431","31"
"172","31"
"171","31"
"441","31"
"11","41"
"21","41"
"231","41"
"193","41"
"670","41"
"91","41"
"711","41"
"663","41"
"616","41"
"712","41"
"782","41"
"759","41"
"849","41"
"852","41"
"661","41"
"613","41"
"491","41"
"941","41"
"979","41"
"1069","41"
"940","41"
"1122","41"
"1127","41"
"965","41"
"1263","41"
"1646","41"
"1803","41"
"1881","41"
"974","41"
"2158","41"
"31","51"
"161","51"
"193","51"
"211","51"
"221","51"
"201","51"
"241","51"
"231","51"
"271","51"
"281","51"
"291","51"
"292","51"
"301","51"
"41","51"
"451","51"
"521","51"
"522","51"
"501","51"
"613","51"
"616","51"
"641","51"
"629","51"
"91","51"
"658","51"
"690","51"
"705","51"
"710","51"
"707","51"
"711","51"
"715","51"
"11","1"
"21","1"
"51","1"
"31","1"
"161","1"
"131","1"
"201","1"
"291","1"
"301","1"
"361","1"
"441","1"
"451","1"
"612","1"
"491","1"
"613","1"
"171","1"
"251","1"
"521","1"
"541","1"
"241","1"
"193","1"
"641","1"
"632","1"
"91","1"
"501","1"
"651","1"
"692","1"
"658","1"
"710","1"
"709","1"
"31","62"
"451","62"
"193","62"
"91","62"
"711","62"
"663","62"
"616","62"
"712","62"
"782","62"
"759","62"
"849","62"
"852","62"
"661","62"
"361","62"
"641","62"
"491","62"
"941","62"
"979","62"
"1053","62"
"940","62"
"1122","62"
"1127","62"
"613","62"
"1316","62"
"1375","62"
"965","62"
"1363","62"
"1263","62"
"1574","62"
"291","62"
"91","81"
"711","81"
"663","81"
"616","81"
"712","81"
"782","81"
"759","81"
"849","81"
"852","81"
"661","81"
"491","81"
"941","81"
"979","81"
"940","81"
"1122","81"
"1127","81"
"965","81"
"1263","81"
"1646","81"
"1803","81"
"1881","81"
"820","81"
"1753","81"
"974","81"
"2111","81"
"1671","81"
"291","81"
"182","81"
"2632","81"
"1457","81"
"451","91"
"193","91"
"690","91"
"688","91"
"637","91"
"111","91"
"521","91"
"686","91"
"679","91"
"689","91"
"658","91"
"691","91"
"651","91"
"710","91"
"711","91"
"716","91"
"663","91"
"241","91"
"616","91"
"726","91"
"725","91"
"634","91"
"732","91"
"745","91"
"751","91"
"759","91"
"712","91"
"758","91"
"706","91"
"431","91"
"451","111"
"541","111"
"601","111"
"193","111"
"686","111"
"680","111"
"679","111"
"501","111"
"91","111"
"658","111"
"711","111"
"710","111"
"719","111"
"663","111"
"616","111"
"712","111"
"782","111"
"759","111"
"707","111"
"849","111"
"852","111"
"661","111"
