"id","username","name","follower_count","following_count","score","is_premium","is_pro"
"31","a","Andrew Torba","71920","2021","1691900","True","True"
"21","ed","ed","815","10","17","False","False"
"41","fbomb","fbomb","1277","34","45","False","True"
"51","m","Milo Yiannopoulos","63230","33","57598","False","False"
"1","e","Ekrem Büyükkaya","10717","220","50195","False","True"
"62","brett","brettfink","1262","6","290","False","False"
"81","mike","Mikhael Levkovsky","996","2","23","False","False"
"91","IvankaTrump","Ivanka Trump","6725","280","502","False","False"
"111","mm","Mike Ma","6122","34","4518","False","False"
"121","brandon","Brandon","933","2","0","False","False"
"161","Logan","Logan","1103","7","6","False","False"
"131","L","Logan","1141","5","39","False","False"
"182","ZACORBE","Z ","312","203","40","False","False"
"193","J","Julian Wan","2506","62","978","False","False"
"151","Giftofgab","GiftofGab ","1551","122","-125","False","False"
"141","REGATED","REGATED","2275","17","842","False","False"
"221","lol","Ethan Pepper","1653","882","133","False","False"
"201","r","Robert Powell","1436","35","485","False","False"
"231","Z","Richard W. Manzo","2116","43","607","False","False"
"241","bryan","Bryan Stascavage","1454","114","122","False","False"
"251","gab","gab","17634","3","29731","False","True"
"271","ryan","ryan kulp","1359","28","400","False","True"
"281","john","John","1198","12","312","False","False"
"292","AK","Andrew Kühlmann","1598","31","223","False","False"
"291","The_Caveman","Spelunky McScott","2577","448","1509","False","False"
"301","MAGAPod","MAGAPod","1881","28","45","False","False"
"361","Emily","Emily J Torba","4660","53","7281","True","True"
"431","Donna","💗Donna💗","9048","9392","34714","False","True"
"172","brad","Brad Siegler","952","1","0","False","False"
"171","B","Brandon","1921","10","1242","False","False"
"441","rob","rob","1070","11","-2","False","False"
"11","joe","joe","450","3","0","False","False"
"670","trump2016","Trump2016","1109","18","0","False","False"
"711","Mich","Mich","2057","571","241","False","False"
"663","cg","Chris","1738","267","40","False","False"
"616","Retro","Retro ✔️","6060","4054","13571","False","False"
"712","ClintonNewsNetwork","CNN","1584","126","31","False","False"
"782","CSilvaUSA","Clayton","1996","240","356","False","False"
"759","redacted","redacted","6845","3692","9506","False","False"
"849","Quotes","Quotes","1230","175","1024","False","False"
"852","Memes","Memes","1155","135","78","False","False"
"661","Jon","Jon","1199","180","517","False","False"
